drugname,n,category,group
10% dextrose (ml/hr),1,dextrose-10,iv-sugar
10% DEXTROSE (ml/hr),1,dextrose-10,iv-sugar
D!) w bicarb (ml/hr),1,dextrose-10,iv-sugar
D10 (),1,dextrose-10,iv-sugar
D10 1/2 NS,1,dextrose-10,iv-sugar
D10% /NaCl 0.45% (ml/hr),1,dextrose-10,iv-sugar
D10/0.45%NS,1,dextrose-10,iv-sugar
D21/2NS,1,dextrose-20,iv-sugar
D 5 W,1,dextrose-5,iv-sugar
D5  1/2 NS,1,dextrose-5,iv-sugar
"D5  w/ NaHCO3, 150 mEq (ml/hr)",1,dextrose-5,iv-sugar
D5 !/2NS (ml/hr),1,dextrose-5,iv-sugar
D5 .45 w 40meq KCL (ml/hr),1,dextrose-5,iv-sugar
d5 0.45 nss  (ml/hr),1,dextrose-5,iv-sugar
D5 0.9%,1,dextrose-5,iv-sugar
D5 1/2 NS +20KCL,1,dextrose-5,iv-sugar
D5 1/2 NS w/ 40K,1,dextrose-5,iv-sugar
D5 1/2 NS WITH 20 KCL,1,dextrose-5,iv-sugar
D5 1/2 NS with 20meq K,1,dextrose-5,iv-sugar
D5 1/2 NSS w/ 40KCL,1,dextrose-5,iv-sugar
D5 -1/2NS,1,dextrose-5,iv-sugar
D5 1/2NS / 20mmol K phos (ml/hr),1,dextrose-5,iv-sugar
D5 1/2NS 20KCL,1,dextrose-5,iv-sugar
D5 1/2NS w/40mEq KCL,1,dextrose-5,iv-sugar
D5 150meq of bicarb,1,dextrose-5,iv-sugar
D5 45NS,1,dextrose-5,iv-sugar
D5 LR 30mEqK,1,dextrose-5,iv-sugar
D5 LR KCL,1,dextrose-5,iv-sugar
D5 LR w/ 40 k,1,dextrose-5,iv-sugar
D5 ns + 20k,1,dextrose-5,iv-sugar
D5 NSS,1,dextrose-5,iv-sugar
D5 w KCL (ml/hr),1,dextrose-5,iv-sugar
D5 w/150 NaBicab (ml/hr),1,dextrose-5,iv-sugar
D5 w/150meq bicarb,1,dextrose-5,iv-sugar
D5 w/150mEq Bicarb,1,dextrose-5,iv-sugar
D5 w/250meq bicarb,1,dextrose-5,iv-sugar
D5 W/3 amps bicarb (ml/hr),1,dextrose-5,iv-sugar
D5 with Bicarb (ml/hr),1,dextrose-5,iv-sugar
