cellpath,celllabel,N,category,group
flowsheet|Flowsheet Cell Labels|I&O|Intake (ml)|Crystalloids (ml)|Volume (mL)-dextrose 10 % infusion,Volume (mL)-dextrose 10 % infusion,1598,dextrose-10,iv-sugar
flowsheet|Flowsheet Cell Labels|I&O|Intake (ml)|Crystalloids (ml)|Volume (mL)-dextrose 15 % infusion,Volume (mL)-dextrose 15 % infusion,175,dextrose-15,iv-sugar
flowsheet|Flowsheet Cell Labels|I&O|Intake (ml)|Crystalloids (ml)|Volume (mL)-dextran 40 in dextrose 5% (DEXTRAN 40 IN D5W) 10 % infusion,Volume (mL)-dextran 40 in dextrose 5% (DEXTRAN 40 IN D5W) 10 % infusion,101,dextrose-5,iv-sugar
flowsheet|Flowsheet Cell Labels|I&O|Intake (ml)|Crystalloids (ml)|Volume (mL)-dextrose 5 % / lactated ringers infusion,Volume (mL)-dextrose 5 % / lactated ringers infusion,541,dextrose-5,iv-sugar
"flowsheet|Flowsheet Cell Labels|I&O|Intake (ml)|Crystalloids (ml)|Volume (mL)-dextrose 5 % / sodium chloride 0.45% 1,000 mL with magnesium sulfate 5 g infusion","Volume (mL)-dextrose 5 % / sodium chloride 0.45% 1,000 mL with magnesium sulfate 5 g infusion",122,dextrose-5,iv-sugar
"flowsheet|Flowsheet Cell Labels|I&O|Intake (ml)|Crystalloids (ml)|Volume (mL)-dextrose 5 % / sodium chloride 0.45% 1,000 mL with potassium chloride 40 mEq, magnesium sulfate 5 g infusion","Volume (mL)-dextrose 5 % / sodium chloride 0.45% 1,000 mL with potassium chloride 40 mEq, magnesium sulfate 5 g infusion",1737,dextrose-5,iv-sugar
flowsheet|Flowsheet Cell Labels|I&O|Intake (ml)|Crystalloids (ml)|Volume (mL)-dextrose 5 % / sodium chloride 0.45% infusion,Volume (mL)-dextrose 5 % / sodium chloride 0.45% infusion,8506,dextrose-5,iv-sugar
flowsheet|Flowsheet Cell Labels|I&O|Intake (ml)|Crystalloids (ml)|Volume (mL)-dextrose 5 % / sodium chloride 0.45% with KCl 20 mEq infusion,Volume (mL)-dextrose 5 % / sodium chloride 0.45% with KCl 20 mEq infusion,3877,dextrose-5,iv-sugar
flowsheet|Flowsheet Cell Labels|I&O|Intake (ml)|Crystalloids (ml)|Volume (mL)-dextrose 5 % / sodium chloride 0.45% with KCl 40 mEq infusion,Volume (mL)-dextrose 5 % / sodium chloride 0.45% with KCl 40 mEq infusion,1762,dextrose-5,iv-sugar
flowsheet|Flowsheet Cell Labels|I&O|Intake (ml)|Crystalloids (ml)|Volume (mL)-dextrose 5 % / sodium chloride 0.9% infusion,Volume (mL)-dextrose 5 % / sodium chloride 0.9% infusion,1684,dextrose-5,iv-sugar
