treatmentstring,n,category,group
pulmonary|ventilation and oxygenation|mechanical ventilation,117481,,
pulmonary|radiologic procedures / bronchoscopy|chest x-ray,65148,,
neurologic|pain / agitation / altered mentation|analgesics|narcotic analgesic,46055,,
renal|urinary catheters|foley catheter,40672,,
cardiovascular|intravenous fluid|normal saline administration,40522,,
pulmonary|consultations|Pulmonary/CCM consultation,39057,,
cardiovascular|consultations|Cardiology consultation,36029,,
endocrine|glucose metabolism|insulin|sliding scale administration,35858,insulin,insulin
gastrointestinal|medications|antiemetic|serotonin antagonist|ondansetron,35805,,
endocrine|glucose metabolism|insulin,35351,insulin,insulin
gastrointestinal|medications|stress ulcer prophylaxis|pantoprazole,34949,,
infectious diseases|medications|therapeutic antibacterials,34799,,
pulmonary|ventilation and oxygenation|oxygen therapy (< 40%)|nasal cannula,33957,,
cardiovascular|vascular disorders|VTE prophylaxis|compression stockings,33029,,
pulmonary|medications|bronchodilator,32198,,
pulmonary|ventilation and oxygenation|oxygen therapy (40% to 60%),30013,,
infectious diseases|medications|therapeutic antibacterials|vancomycin,29355,,
cardiovascular|vascular disorders|VTE prophylaxis|compression boots,29268,,
cardiovascular|myocardial ischemia / infarction|antiplatelet agent|aspirin,29192,,
infectious diseases|cultures / immuno-assays|cultures|blood,28336,,
cardiovascular|arrhythmias|antiarrhythmics|class III antiarrhythmic|amiodarone,27707,,
infectious diseases|cultures / immuno-assays|cultures,27615,,
neurologic|procedures / diagnostics|head CT scan,27510,,
neurologic|pain / agitation / altered mentation|analgesics,25871,,
endocrine|glucose metabolism|insulin|continuous infusion,25514,insulin,insulin
pulmonary|ventilation and oxygenation|non-invasive ventilation,24903,,
neurologic|pain / agitation / altered mentation|analgesics|bolus parenteral analgesics,24358,,
cardiovascular|shock|vasopressors|norepinephrine > 0.1 micrograms/kg/min,24174,,
gastrointestinal|medications|stress ulcer prophylaxis|famotidine,22877,,
"pulmonary|medications|bronchodilator|beta-agonist|albuterol (Proventil, Ventolin)",21323,,
renal|consultations|Nephrology consultation,21190,,
pulmonary|ventilation and oxygenation|tracheal suctioning,21051,,
infectious diseases|cultures / immuno-assays|cultures|urine,20620,,
general|support services|physical therapy consult,20373,,
pulmonary|ventilation and oxygenation|oxygen therapy (< 40%),20197,,
pulmonary|ventilation and oxygenation|CPAP/PEEP therapy,20093,,
pulmonary|ventilation and oxygenation|ventilator weaning,19578,,
neurologic|consultations|Neurology consultation,19574,,
neurologic|pain / agitation / altered mentation|analgesics|non-narcotic analgesic|acetaminophen,19224,,
infectious diseases|medications|therapeutic antibacterials|penicillins|piperacillin/tazobactam,18792,,
gastrointestinal|medications|stress ulcer prophylaxis,18457,,
infectious diseases|consultations|Infectious Disease consultation,18327,,
renal|intravenous fluid|normal saline administration,17477,,
cardiovascular|shock|vasopressors|norepinephrine <= 0.1 micrograms/kg/min,17467,,
cardiovascular|intravenous fluid|normal saline administration|fluid bolus (250-1000mls),17294,,
gastrointestinal|nutrition|enteral feeds|tube feeding,17223,enteral-nonspecific-intake,nutrition-enteral
neurologic|pain / agitation / altered mentation|analgesics|oral analgesics,17051,,
cardiovascular|vascular disorders|VTE prophylaxis|conventional heparin therapy|subcutaneous,17003,,
renal|dialysis|hemodialysis,16916,,
cardiovascular|non-operative procedures|diagnostic ultrasound of heart|transthoracic echocardiography,16853,,
renal|electrolyte correction|electrolyte administration,16769,,
